Timestamp: 2023-06-19T11:10:27+08:00
Carpark Number,Total Lots,Lots Available,Address
T57,22,10,BLK 885A TAMPINES STREET 83
C17,66,11,"BLK 442-444,442A CLEMENTI AVENUE 3"
Y21,77,11,BLK 290/292 YISHUN STREET 22
CR2,33,11,BLK 3/4 BEACH ROAD
JB3,33,11,"BLK 6,12,14 KAMPONG ARANG ROAD"
TP12,82,11,BLK 71/72 LORONG 5 TOA PAYOH
GSML,22,11,BLK 2 GEYLANG SERAI
B7B,21,11,BEDOK CENTRAL
GM5,118,11,BLK 21 GHIM MOH ROAD
TP2,85,12,BLK 85/A/B/C LORONG 4 TOA PAYOH
TB9,77,12,BLK 32/35 TELOK BLANGAH RISE
J12,243,12,BLK 252/254 JURONG EAST STREET 24
B41,26,12,BLK 510 BEDOK NORTH STREET 3
GE1C,128,12,BLK 119 ALJUNIED CRESCENT
SLS,79,12,BLK 4 SAGO LANE CAR PARK
TB14,43,13,BLK 113/114 DEPOT ROAD
PL33,48,13,BLK 621A - 621B EDGEFIELD WALK
T15,30,14,BLK 201A/201C TAMPINES STREET 21
MP5M,159,14,BLK 47A MARINE CRESCENT
B24,150,14,BLK 84/89 BEDOK NORTH AVENUE 4
Q68,34,15,BLK 110 COMMONWEALTH CRESCENT
Q17,26,15,BLK 52 STIRLING ROAD
Q70,30,15,BLK 99/102 COMMONWEALTH CRESCENT
BKE4,43,15,BLK 684/685 RACE COURSE ROAD
H93L,38,15,"BLK 978C TO 981D, 982, 987A TO 988C BUANGKOK CRESCENT/GREEN"
Y1,134,15,BLK 101/102 YISHUN AVENUE 5
M37,35,16,BLK 38 TO 40 CIRCUIT ROAD
M38,39,16,BLK 63 TO 64 CIRCUIT ROAD
BE29,48,16,BLK 228-231 BISHAN STREET 23
H3,148,16,BLK 87 ZION ROAD
HG96,39,16,BLK 108 HOUGANG AVENUE 1
MR5,105,16,"BLK 804/805, 809 MAUDE ROAD"
W108,76,16,BLK 302A WOODLANDS STREET 31
SK97,47,16,BLK 350 ANCHORVALE ROAD
TP68,21,17,BLK 196 KIM KEAT AVENUE
PP6,111,17,BLK 146 POTONG PASIR AVENUE 2
KB18,36,17,BLK 45-48 BENDEMEER ROAD
Y49H,27,17,BLK 419A YISHUN AVENUE 11
CR30,54,18,BLK 639/640 ROWELL COURT
KB12,181,18,BLK 22/24 SERANGOON ROAD
W6,57,18,BLK 15/16 MARSILING LANE
J66,77,18,BLK 959-961 JURONG WEST STREET 92
SE52,21,18,NEXT TO BLK 226 SERANGOON AVENUE 4
Y58,41,19,162 YISHUN STREET 11
HG9T,147,19,BLK 206 HOUGANG STREET 21
BM3,48,20,BLK 49/50 HOY FATT ROAD
M20,36,20,BLK 65 & 80 CIRCUIT ROAD
BM1,60,20,BLK 28 JALAN BUKIT MERAH
CK29,26,20,BLK 276/277 CHOA CHU KANG AVENUE 2
TB11,154,20,BLK 42/43 TELOK BLANGAH RISE
KB10,164,21,BLK 30 BENDEMEER ROAD
SD9,41,21,BLK 114 LORONG 3 GEYLANG
CK24,48,21,BLK 350-351 CHOA CHU KANG CENTRAL
W37,50,21,BLK 816-821 WOODLANDS STREET 82
PL44,55,21,BLK 206A PUNGGOL PLACE
K7,159,21,BLK 51 OLD AIRPORT ROAD
CK6,40,21,"BLK 143, 144 & 146 TECK WHYE LANE"
BM13,117,21,BLK 44/47 LENGKOK BAHRU
HG64,82,22,BLK 682-684 HOUGANG STREET 61
CR31,93,22,BLK 632/633/635 VEERASAMY ROAD
T41,202,22,BLK 821/829 TAMPINES STREET 81
SE43,32,22,BLK 510 SERANGOON NORTH AVENUE 4
UBK2,287,23,BLK 11/15/18 UPPER BOON KENG
UA2,73,23,BLK 3 TO 5 UPPER ALJUNIED LANE
TB10,213,23,BLK 38/40 TELOK BLANGAH RISE
PDT8,45,23,BLK 866A TAMPINES ST 83
T26,293,24,BLK 249/266 TAMPINES STREET 21
HG16,73,24,BLK 211-212 HOUGANG STREET 21
Q66,102,24,BLK 117 COMMONWEALTH DRIVE
BE36,82,25,BLK 278-281 BISHAN STREET 24
SI6,39,25,BLK 132 SIMEI STREET 1
U50,37,25,BLK 230A BUKIT BATOK ST 21 BUKIT BATOK STREET 21
MP1,44,25,BLK 1 TO 4 MARINE TERRACE
WCB,143,26,BLK 261/262/264 WATERLOO BASEMENT CAR PARK
W107,50,26,BLK 569A-569B CHAMPIONS WAY
K10,96,26,"BLK 28,30,32,34,36 CASSIA CRESCENT"
A88,44,26,BLK 348 ANG MO KIO AVENUE 3
SK82,66,26,BLK 182 RIVERVALE CRESCENT
SE24,167,27,BLK 265 SERANGOON AVENUE 3
HG55,88,27,BLK 814 HOUGANG AVENUE 10
A8,48,27,BLK 209/210 ANG MO KIO STREET 22
GE1B,64,27,BLK 114-117 ALJUNIED AVENUE 2
UBK4,53,28,BLK 19/20 UPPER BOON KENG
U63,83,28,BLK 377A BUKIT BATOK STREET 31
H4,102,29,BLK 22 HAVELOCK ROAD
U24T,46,30,BLK 333/334 BUKIT BATOK WEST AVENUE 4
B70,41,30,BLK 201 BEDOK NORTH STREET 1
W4,75,30,BLK 6/7 MARSILING DRIVE
BR9,50,30,BLK 69 MOULMEIN ROAD
CK65,69,30,"BLK 535,536 AND 537 CHOA CHU KANG STREET 51"
CK19,70,31,BLK 133/134 TECK WHYE LANE
TP14,53,32,BLK 63/64 LORONG 5 TOA PAYOH
SDM2,135,32,BLK 50A SIMS DRIVE
CC12,131,32,BLK 11 CHAI CHEE ROAD
JSA1,63,32,BLK 499 JURONG WEST STREET 41
B91,46,32,BLK 630 BEDOK RESERVOIR ROAD
CCKC,53,32,BLK 309 CHOA CHU KANG AVENUE 4
BJAL,38,32,BLK 517 - 519 JELAPANG ROAD
FR4M,88,33,BLK 6A FARRER ROAD
SB34,63,33,BLK 462 SEMBAWANG DRIVE
BM14,94,34,BLK 34-36 JALAN RUMAH TINGGI
A10,62,34,BLK 201/202 ANG MO KIO STREET 22
C29A,102,34,BLK 503 WEST COAST DRIVE
CKT2,81,34,BLK 302 CHOA CHU KANG LOOP
HE9,89,35,BLK 118/119 BUKIT MERAH VIEW
B8,113,36,BLK 201/203 BEDOK NORTH STREET 1
BM20,60,36,BLK 89/90 REDHILL CLOSE
EC4,119,36,BLK 1-3/1A EUNOS CRESCENT
HG15,123,36,BLK 208-210 HOUGANG STREET 21
HG22,116,37,BLK 154-157 HOUGANG STREET 11
A48,66,37,BLK 571/73 ANG MO KIO STREET 51
BJ62,68,37,BLK 454 FAJAR ROAD
C36,86,37,BLK 728/729 CLEMENTI WEST STREET 2
WDB1,75,38,BLK 104 WHAMPOA DRIVE
BE26,65,38,BLK 207/212/216/217 BISHAN STREET 23
P34L,80,38,PUNGGOL ROAD
P11,49,38,BLK 416 PANDAN GARDENS
A37,193,39,BLK 446/449/453 ANG MO KIO STREET 43
A28,84,39,BLK 103/105/107 ANG MO KIO STREET 11
Y33,101,40,BLK 602-605 YISHUN STREET 61
TB4A,46,40,BLK 18 & 19 TELOK BLANGAH CRESCENT
B73,50,40,BLK 651A JALAN TENAGA
TB18,71,40,BLK 72/74/84 TELOK BLANGAH DRIVE
BM30,40,40,BLK 164/165 BUKIT MERAH CENTRAL
SE5L,59,40,BLK 150 SERANGOON NORTH AVENUE 2
HE12,105,41,BLK 78/81 REDHILL LANE
CR7,183,41,BLK 464/463 CRAWFORD LANE
HE19,93,41,#NAME?
YHS,64,41,BLK 11/12/13 YORK HILL CAR PARK
A100,64,41,BLK 650 ANG MO KIO STREET 61
HLM,583,42,BLK 533A HONG LIM MSCP
TP17,119,42,BLK 177 TO 179 TOA PAYOH TOWN CENTRE
MP1,159,42,BLK 1 TO 4 MARINE TERRACE
MP6,76,42,BLK 50/50A/53 MARINE TERRACE
HR1,78,42,BLK 1-3 HAIG ROAD
DRM4,104,43,BLK 105 DEPOT ROAD
J74M,72,43,BLK 712B JURONG WEST ST 71 JURONG WEST STREET 71
B48B,73,43,BLK 547C BEDOK NORTH AVENUE 1
AM32,91,44,BLK 255A ANG MO KIO STREET 21
LT3,244,44,BLK 101-109 LENGKONG TIGA
GSM,200,44,BLK 2 GEYLANG SERAI
BR12,57,44,BLKS 34/35 JALAN BAHAGIA
TW1,108,45,BLK 25/26 TECK WHYE LANE
MR6,105,45,BLK 8 FRENCH ROAD
MR7,105,45,BLK 801/802 FRENCH ROAD
BR14,78,45,BLK 20 JALAN TENTERAM
B54,170,45,BLK 630/632 BEDOK RESERVOIR ROAD
U38,115,46,BLK 185/187 BUKIT BATOK WEST AVENUE 6
TB23,50,46,DEPOT ROAD LORRY PARK
T16,109,47,BLK 202/205 TAMPINES STREET 21
BJMP,60,48,BLK 259B BANGKIT ROAD
Q65,103,48,BLK 115A COMMONWEALTH DRIVE
T58,99,48,BLK 872A TAMPINES STREET 86
PDL2,278,48,681 PUNGGOL DR
JBM2,144,49,BLK 113A JALAN BUKIT MERAH
BJ11,100,49,BLK 242-245 BUKIT PANJANG RING ROAD
B42,123,49,BLK 509/511 BEDOK NORTH STREET 3
MP17,87,49,BLK 51 MARINE TERRACE
B25,138,49,BLK 91/97 BEDOK NORTH AVENUE 4
TBMT,150,50,BLK 80 TELOK BLANGAH STREET 31
SK48,50,50,BLK 321 ANCHORVALE DRIVE
C11,134,50,"BLK 321-322,324-326 CLEMENTI AVENUE 5"
SE37,85,50,BLK 519 SERANGOON NORTH AVENUE 4
Q41,90,50,BLK 80 STRATHMORE AVENUE
M35,91,51,BLK 41 TO 42 CIRCUIT ROAD
C25,154,51,BLK 101-104 CLEMENTI STREET 14
HG31,85,51,BLK 414-416 HOUGANG AVENUE 10
DRM5,84,51,BLOCK 110 DEPOT ROAD
MP12,220,52,BLK 72 TO 76 MARINE DRIVE
A81,118,52,BLK 170/172 ANG MO KIO STREET 13
BR6,131,52,BLK 92 WHAMPOA DRIVE
K19,96,52,BLK 62 DAKOTA CRESCENT
TB8,85,54,BLK 30/31 TELOK BLANGAH RISE
B46,70,54,BLK 537 BEDOK NORTH STREET 3
PR14,84,54,BLK 557-562 PASIR RIS STREET 51
TP15,85,55,BLK 53 TO 55 LORONG 5 TOA PAYOH
TP20,90,55,BLK 158-161/163/168-174 LORONG 1 TOA PAYOH
A71,185,56,BLK 628/632 ANG MO KIO STREET 61
A85,93,56,BLK 340 ANG MO KIO STREET 32
M16,124,57,BLK 37 CIRCUIT ROAD
BJ31,88,57,BLK 513A JELAPANG ROAD
A70,134,57,BLK 629/626 ANG MO KIO AVENUE 4
SK83,94,57,BLK 450 SENGKANG WEST WAY
BE7,119,57,BLK 139-144 BISHAN STREET 12
TB19,100,58,BLK 75/76 TELOK BLANGAH DRIVE
KJ2,104,58,BLK 49/50 DORSET ROAD
CK18,98,58,BLK 130/132 CHOA CHU KANG AVENUE 1
PDQ5,135,58,BLK 57 DAWSON RD
CC5,104,59,BLK 27 CHAI CHEE ROAD
C24,450,60,BLK 110/118 CLEMENTI STREET 13
SPS,98,60,BLK 101/102 SPOTTISWOODE PARK CAR PARK
CV3,86,60,BLK 5 CHANGI VILLAGE ROAD
B14,208,61,BLK 412/413 BEDOK NORTH AVENUE 2
TP10,83,61,BLK 68 LORONG 5 TOA PAYOH
A43,141,61,BLK 457/458/460 ANG MO KIO STREET 44
TRM,77,61,BLK 14A KAMPONG ARANG ROAD
H8,82,62,BLKS 4-8 TAMAN HO SWEE
AV1,277,62,BLK 120/120A/121-127 ALEXANDRA VILLAGE
U48,93,63,BLK 350 BUKIT BATOK STREET 32
U3,159,63,BLK 133/139 BUKIT BATOK WEST AVENUE 6
MLM1,200,63,BLK 161A MEI LING STREET
Q67,81,63,BLK 116-118 COMMONWEALTH CRESCENT
HG53,201,63,BLK 830A HOUGANG CENTRAL
KB3,149,64,BLK 64/65/67 KALLANG BAHRU
EC7,127,64,BLK 842-848 SIMS AVENUE
CC8,147,64,BLK 55/58 CHAI CHEE DRIVE
T7,110,64,BLK 136/138 TAMPINES STREET 11
HG10,248,65,BLK 101-108 HOUGANG AVENUE 1
GE5,253,65,BLK 129-134 GEYLANG EAST AVENUE 1/2
HR5,91,65,BLK 21 TO 23 HAIG ROAD
A13,154,65,BLK 232/233 ANG MO KIO STREET 22
PR7,218,66,BLK 446/455 PASIR RIS DRIVE 6
TP63,114,66,BLK 202 TO 204 TOA PAYOH NORTH
Q8,149,66,BLK 19/23A/23B QUEENS CLOSE
K52,102,66,BLK 52 CASSIA CRESCENT
J33,129,67,BLK 518/520 JURONG WEST STREET 52
KJ3,334,67,BLK 48/48A DURHAM ROAD
BR5,152,68,BLK 74/75 WHAMPOA DRIVE
BRB1,168,68,BLK 665 BUFFALO ROAD BASEMENT CAR PARK
STM1,148,68,BLK 169A STIRLING ROAD
GM2A,146,68,BLK 8A GHIM MOH ROAD
U8,121,68,BLK 165/168 BUKIT BATOK WEST AVENUE 8
P15,90,68,BLK 413 PANDAN GARDENS
C19M,84,68,BLK 445 CLEMENTI AVENUE 3
U45,159,69,BLK 285A BUKIT BATOK EAST AVENUE 3
SG2,103,69,BLK 14/19 SAINT GEORGE RD
K2T,73,69,BLK 21 JALAN EMPAT
Q85,148,69,NORTH BUONA VISTA ROAD
BBB,193,69,BLK 231 BRAS BASAH BASEMENT CAR PARK
KJ4,182,69,BLK 51/54 KENT ROAD
TM25,128,70,BLK 497E TAMPINES STREET 45
CKT1,104,70,BLK BETWEEN 404 & 426 CHOA CHU KANG AVENUE 1/4
A68,158,70,BLK 620/624/626 ANG MO KIO STREET 61
RCM,151,71,BLK 638 VEERASAMY ROAD
A65,97,71,BLK 558/560 ANG MO KIO STREET 54
U71,89,71,BLK 113C BUKIT BATOK WEST AVENUE 6
J14,192,71,BLK 256/258 JURONG EAST STREET 24
C31,145,71,BLK 510/511 WEST COAST ROAD
KE4,133,71,BLK 136/140 BEDOK RESERVOIR ROAD
KTM,247,72,BLK 125A KIM TIAN ROAD
TP41,134,72,BLK 253/254/256 KIM KEAT AVENUE
C18,124,72,BLK 426/428 CLEMENTI AVENUE 3
C34,147,73,BLK 702/703 WEST COAST ROAD
B44B,102,73,BLKS 556/557 BEDOK NORTH STREET 3
KB1,239,74,BLK 61-62/68 GEYLANG BAHRU ROAD
PP4,166,74,BLK 121 TO 133 POTONG PASIR AVENUE 1
J70,147,74,BLK 835/838 JURONG WEST STREET 81
TM49,197,74,BLK 494F TAMPINES STREET 43
J40,206,75,BLK 462-467 JURONG WEST STREET 41
EPM,286,75,BLK 6A EVERTON ROAD
TM26,124,75,BLK 497K TAMPINES STREET 45
B90,75,75,BLK 35A BEDOK SOUTH AVENUE 2
TB6,133,75,BLK 27/33 TELOK BLANGAH WAY
C29,189,75,BLK 501-505 WEST COAST DRIVE
P12,124,75,BLK 415 PANDAN GARDENS
WCC,190,76,900 SOUTH WOODLANDS DR
TE14,134,77,BLK 140/142 JALAN BUKIT MERAH
A9,146,77,BLK 202/203 ANG MO KIO STREET 22
M3,126,77,BLK 19 TO 21/23/24/30/32 BALAM ROAD
W105,126,77,BLK 689 WOODLANDS DRIVE 75
A64,132,77,BLK 584/586 ANG MO KIO STREET 51
KM2,177,78,BLK 93A JALAN DUA
MP7,212,78,BLK 54/55/56/58/59 MARINE TERRACE
Y25M,114,78,813 YISHUN RING ROAD
PDJ3,212,78,BLK 399 YUNG SHENG ROAD
A98,108,79,BLK 259 ANG MO KIO AVENUE 2
TP34,187,79,BLK 49 TO 52 LORONG 5 TOA PAYOH
BR8,127,79,BLK 76/77 LORONG LIMAU
J35,165,79,BLK 508/511 JURONG WEST STREET 51/52
Q89,435,80,BLK 7B COMMONWEALTH AVENUE
A24,214,80,BLK 338/340 ANG MO KIO STREET 32
J4,172,81,BLK 201/206 JURONG EAST STREET 21
TPMG,116,81,BLK 128A LORONG 1 TOA PAYOH
U5,101,81,BLK 144/149 BUKIT BATOK WEST AVENUE 6
BM4,150,81,BLK 35A JALAN RUMAH TINGGI
SI8,115,81,BLK 138 SIMEI STREET 1
CC9,117,81,BLK 41/42 CHAI CHEE STREET
T8,211,81,BLK 137/139 TAMPINES STREET 11
GM6A,167,81,BLK 13A GHIM MOH ROAD
JCM,372,82,BLK 2 JOO CHIAT ROAD
